round,start_time,stop_time,end_time,start_snapshot_time,start_benign_out,start_malicious_out,start_total_out,stop_snapshot_time,stop_benign_out,stop_malicious_out,stop_total_out,end_snapshot_time,end_benign_out,end_malicious_out,end_total_out,benign_out_zero_time,time_to_benign_out_zero_seconds,time_to_benign_out_zero_minutes,time_to_benign_out_zero_hms,zero_time_benign_out,zero_time_malicious_out,zero_time_total_out,recovery_to_2_time,recovery_to_2_seconds,recovery_to_2_minutes,recovery_to_2_hms,recovery_benign_out,recovery_malicious_out,recovery_total_out,next_round_start_time
1,2026/5/20 0:53,2026/5/20 1:18,2026/5/20 1:18,53:02.0,12,0,12,18:19.7,0,7,7,18:38.0,0,0,0,54:41.2,96.209,1.603,0:01:36,0,3,3,18:53.4,14.353,0.239,0:00:14,2,0,2,2026/5/20 1:43
2,2026/5/20 1:43,2026/5/20 2:09,2026/5/20 2:09,42:44.0,12,0,12,08:53.7,0,47,47,09:09.8,2,0,2,50:59.3,440.286,7.338,0:07:20,0,91,91,09:22.1,11.069,0.184,0:00:11,2,0,2,2026/5/20 2:34
3,2026/5/20 2:34,2026/5/20 2:59,2026/5/20 2:59,34:05.6,12,0,12,59:31.1,1,18,19,59:38.4,1,11,12,37:09.5,178.527,2.975,0:02:59,0,0,0,00:00.8,16.775,0.28,0:00:17,2,0,2,2026/5/20 3:24
4,2026/5/20 3:24,2026/5/20 3:50,2026/5/20 3:50,24:36.9,12,0,12,49:28.3,1,77,78,50:11.6,0,0,0,25:31.3,47.251,0.788,0:00:47,0,30,30,51:42.1,86.146,1.436,0:01:26,2,0,2,2026/5/20 4:15
5,2026/5/20 4:15,2026/5/20 4:40,2026/5/20 4:40,15:06.5,12,0,12,40:37.7,0,12,12,40:45.5,1,0,1,21:59.5,403.504,6.725,0:06:44,0,6,6,40:50.5,1.503,0.025,0:00:02,2,0,2,2026/5/20 5:05
6,2026/5/20 5:05,2026/5/20 5:31,2026/5/20 5:31,05:48.8,12,0,12,31:05.9,0,77,77,31:20.3,1,0,1,14:27.1,518.112,8.635,0:08:38,0,17,17,31:30.8,8.759,0.146,0:00:09,2,0,2,2026/5/20 5:56
7,2026/5/20 5:56,2026/5/20 6:21,2026/5/20 6:21,56:18.5,11,0,11,21:40.6,0,147,147,21:53.2,0,0,0,58:40.8,138.798,2.313,0:02:19,0,0,0,22:14.3,19.295,0.322,0:00:19,2,0,2,2026/5/20 6:46
8,2026/5/20 6:46,2026/5/20 7:12,2026/5/20 7:12,46:46.7,12,0,12,12:14.0,0,22,22,12:26.5,1,0,1,55:23.5,508.519,8.475,0:08:29,0,43,43,12:32.4,4.45,0.074,0:00:04,2,0,2,2026/5/20 7:37
9,2026/5/20 7:37,2026/5/20 8:02,2026/5/20 8:03,37:06.7,12,0,12,02:50.5,0,58,58,02:59.5,0,0,0,38:38.0,70.021,1.167,0:01:10,0,33,33,03:58.6,56.645,0.944,0:00:57,2,0,2,2026/5/20 8:28
10,2026/5/20 8:28,2026/5/20 8:53,2026/5/20 8:53,27:58.3,12,0,12,53:18.8,0,31,31,53:32.1,0,0,0,37:30.2,568.227,9.47,0:09:28,0,17,17,53:54.7,20.742,0.346,0:00:21,2,0,2,2026/5/20 9:18
11,2026/5/20 9:18,2026/5/20 9:43,2026/5/20 9:44,18:29.9,10,0,10,43:54.7,0,45,45,44:05.7,0,0,0,20:46.1,132.105,2.202,0:02:12,0,24,24,45:04.9,57.907,0.965,0:00:58,2,0,2,2026/5/20 10:09
12,2026/5/20 10:09,2026/5/20 10:34,2026/5/20 10:34,09:03.0,11,0,11,34:15.4,1,4,5,34:38.6,1,0,1,12:51.7,224.738,3.746,0:03:45,0,3,3,35:07.5,28.475,0.475,0:00:28,2,0,2,2026/5/20 10:59
13,2026/5/20 10:59,2026/5/20 11:25,2026/5/20 11:25,59:37.0,12,0,12,24:40.5,1,46,47,25:08.8,1,0,1,07:19.8,460.804,7.68,0:07:41,0,64,64,25:24.0,11.951,0.199,0:00:12,2,0,2,2026/5/20 11:50
14,2026/5/20 11:50,2026/5/20 12:15,2026/5/20 12:15,50:02.6,11,0,11,15:32.5,0,26,26,15:32.5,0,26,26,53:25.6,193.572,3.226,0:03:14,0,4,4,15:45.7,0.718,0.012,0:00:01,2,0,2,2026/5/20 12:40
15,2026/5/20 12:40,2026/5/20 13:06,2026/5/20 13:06,40:44.0,12,0,12,05:52.8,0,40,40,06:15.7,0,0,0,45:29.2,284.153,4.736,0:04:44,0,7,7,07:36.0,79.026,1.317,0:01:19,2,0,2,2026/5/20 13:31
16,2026/5/20 13:31,2026/5/20 13:56,2026/5/20 13:56,31:03.3,12,0,12,56:38.9,2,59,61,56:38.9,2,59,61,32:44.0,86.955,1.449,0:01:27,0,1,1,56:55.6,5.576,0.093,0:00:06,2,0,2,2026/5/20 14:21
17,2026/5/20 14:21,2026/5/20 14:47,2026/5/20 14:47,21:45.1,11,0,11,47:00.8,0,50,50,47:00.8,0,50,50,24:14.9,144.888,2.415,0:02:25,0,1,1,48:14.7,51.705,0.862,0:00:52,2,0,2,2026/5/20 15:12
