timestamp,self_height,total_out_connections,benign_out_connections,malicious_out_connections,malicious_out_height_gte_self,benign_out_height_gte_self,elapsed_seconds
2026-05-25 10:20:56.396,3681466,12,1,11,0,1,2.396
2026-05-25 10:21:03.794,3681467,29,1,28,11,1,9.794
2026-05-25 10:21:04.749,3681467,28,2,26,11,1,10.749
2026-05-25 10:21:04.976,3681467,27,1,26,11,1,10.976
2026-05-25 10:21:07.304,3681467,27,1,26,11,1,13.304
2026-05-25 10:21:12.921,3681467,12,1,11,11,1,18.921
2026-05-25 10:21:16.936,3681467,12,1,11,11,1,22.936
2026-05-25 10:21:19.888,3681467,12,1,11,11,1,25.888
2026-05-25 10:21:20.086,3681467,12,1,11,11,1,26.086
2026-05-25 10:21:28.639,3681467,12,1,11,11,1,34.639
2026-05-25 10:21:53.232,3681467,12,1,11,11,1,59.232
2026-05-25 10:22:02.553,3681467,12,1,11,11,1,68.553
2026-05-25 10:22:02.720,3681467,13,2,11,11,1,68.72
2026-05-25 10:22:02.892,3681467,12,1,11,11,1,68.892
2026-05-25 10:22:17.743,3681467,42,1,41,11,1,83.743
2026-05-25 10:22:29.987,3681467,12,1,11,11,1,95.987
2026-05-25 10:22:46.332,3681467,12,1,11,11,1,112.332
2026-05-25 10:22:46.565,3681467,13,2,11,11,1,112.565
2026-05-25 10:22:46.565,3681467,13,2,11,11,1,112.565
2026-05-25 10:22:46.805,3681467,12,1,11,11,1,112.805
2026-05-25 10:22:55.213,3681467,12,1,11,11,1,121.213
2026-05-25 10:22:55.820,3681467,12,1,11,11,1,121.82
2026-05-25 10:22:55.827,3681467,12,1,11,11,1,121.827
2026-05-25 10:23:09.368,3681467,12,1,11,11,1,135.368
2026-05-25 10:23:09.577,3681467,12,1,11,11,1,135.577
2026-05-25 10:23:09.623,3681467,13,2,11,11,1,135.623
2026-05-25 10:23:09.630,3681467,13,2,11,11,1,135.63
2026-05-25 10:23:09.669,3681467,12,1,11,11,1,135.669
2026-05-25 10:23:13.437,3681467,12,1,11,11,1,139.437
2026-05-25 10:23:13.599,3681467,13,2,11,11,1,139.599
2026-05-25 10:23:13.605,3681467,13,2,11,11,1,139.605
2026-05-25 10:23:13.763,3681467,12,1,11,11,1,139.763
2026-05-25 10:23:16.471,3681467,12,2,10,10,1,142.471
2026-05-25 10:23:16.565,3681467,12,2,10,10,2,142.565
2026-05-25 10:23:16.611,3681467,12,2,10,10,2,142.611
2026-05-25 10:23:42.396,3681467,12,2,10,10,2,168.396
2026-05-25 10:23:42.666,3681467,13,3,10,10,2,168.666
2026-05-25 10:23:42.941,3681467,12,2,10,10,2,168.941
2026-05-25 10:23:43.776,3681467,12,2,10,10,2,169.776
2026-05-25 10:23:50.960,3681467,12,2,10,10,2,176.96
2026-05-25 10:24:04.346,3681468,12,2,10,0,0,190.346
2026-05-25 10:24:04.347,3681468,12,2,10,0,0,190.347
2026-05-25 10:24:04.347,3681468,12,2,10,0,0,190.347
2026-05-25 10:24:12.162,3681468,12,2,10,0,0,198.162
2026-05-25 10:24:12.428,3681468,12,2,10,0,0,198.428
2026-05-25 10:24:15.442,3681468,12,2,10,10,2,201.442
2026-05-25 10:24:16.034,3681468,13,3,10,10,2,202.034
2026-05-25 10:24:16.268,3681468,12,2,10,10,2,202.268
2026-05-25 10:24:16.382,3681468,12,2,10,10,2,202.382
2026-05-25 10:24:16.679,3681468,12,2,10,10,2,202.679
2026-05-25 10:24:16.919,3681468,12,2,10,10,2,202.919
2026-05-25 10:24:19.713,3681468,12,2,10,10,2,205.713
2026-05-25 10:24:36.624,3681468,62,2,60,10,2,222.624
2026-05-25 10:24:43.214,3681468,46,2,44,10,2,229.214
2026-05-25 10:24:43.401,3681468,46,2,44,10,2,229.401
2026-05-25 10:24:43.561,3681468,46,2,44,10,2,229.561
2026-05-25 10:24:43.565,3681468,46,2,44,10,2,229.565
2026-05-25 10:24:51.723,3681468,12,2,10,10,2,237.723
2026-05-25 10:24:52.144,3681468,13,3,10,10,2,238.144
2026-05-25 10:24:52.359,3681468,12,2,10,10,2,238.359
2026-05-25 10:24:54.500,3681468,12,2,10,10,2,240.5
2026-05-25 10:24:54.758,3681468,13,3,10,10,2,240.758
2026-05-25 10:24:55.812,3681468,13,3,10,10,2,241.812
2026-05-25 10:24:56.682,3681468,12,2,10,10,2,242.682
2026-05-25 10:25:01.049,3681468,12,2,10,10,2,247.049
2026-05-25 10:25:01.297,3681468,13,3,10,10,2,247.297
2026-05-25 10:25:01.543,3681468,12,2,10,10,2,247.543
2026-05-25 10:25:02.095,3681468,12,2,10,10,2,248.095
2026-05-25 10:25:02.305,3681468,13,3,10,10,2,248.305
2026-05-25 10:25:02.310,3681468,13,3,10,10,2,248.31
2026-05-25 10:25:02.356,3681468,13,3,10,10,2,248.356
2026-05-25 10:25:02.515,3681468,12,2,10,10,2,248.515
2026-05-25 10:25:08.874,3681468,12,2,10,10,2,254.874
2026-05-25 10:25:09.187,3681468,13,3,10,10,2,255.187
2026-05-25 10:25:09.497,3681468,12,2,10,10,2,255.497
2026-05-25 10:25:10.185,3681468,12,2,10,10,2,256.185
2026-05-25 10:25:13.671,3681468,12,2,10,10,2,259.671
2026-05-25 10:25:13.979,3681468,13,3,10,10,2,259.979
2026-05-25 10:25:14.284,3681468,12,2,10,10,2,260.284
2026-05-25 10:25:20.978,3681468,12,2,10,10,2,266.978
2026-05-25 10:25:20.979,3681468,12,2,10,10,2,266.979
2026-05-25 10:25:21.400,3681468,13,3,10,10,2,267.4
2026-05-25 10:25:21.900,3681468,12,2,10,10,2,267.9
2026-05-25 10:25:23.055,3681468,12,2,10,10,2,269.055
2026-05-25 10:25:36.610,3681468,12,2,10,10,2,282.61
2026-05-25 10:25:57.059,3681468,26,2,24,10,2,303.059
2026-05-25 10:26:01.134,3681468,12,2,10,10,2,307.134
2026-05-25 10:26:01.311,3681468,12,2,10,10,2,307.311
2026-05-25 10:26:01.389,3681468,13,3,10,10,2,307.389
2026-05-25 10:26:01.649,3681468,12,2,10,10,2,307.649
2026-05-25 10:26:02.401,3681468,12,2,10,10,2,308.401
2026-05-25 10:26:03.662,3681468,12,2,10,10,2,309.662
2026-05-25 10:26:03.920,3681468,13,3,10,10,2,309.92
2026-05-25 10:26:04.190,3681468,12,2,10,10,2,310.19
2026-05-25 10:26:04.972,3681468,12,2,10,10,2,310.972
2026-05-25 10:26:06.176,3681468,12,2,10,10,2,312.176
2026-05-25 10:26:06.420,3681468,13,3,10,10,2,312.42
2026-05-25 10:26:06.675,3681468,12,2,10,10,2,312.675
2026-05-25 10:26:09.046,3681468,12,2,10,10,2,315.046
2026-05-25 10:26:19.774,3681468,12,2,10,10,2,325.774
2026-05-25 10:26:20.785,3681468,12,2,10,10,2,326.785
2026-05-25 10:26:20.984,3681468,12,2,10,10,2,326.984
2026-05-25 10:26:21.033,3681468,13,3,10,10,2,327.033
2026-05-25 10:26:21.210,3681468,13,3,10,10,2,327.21
2026-05-25 10:26:21.285,3681468,12,2,10,10,2,327.285
2026-05-25 10:26:21.627,3681468,13,3,10,10,2,327.627
2026-05-25 10:26:21.838,3681468,12,2,10,10,2,327.838
2026-05-25 10:26:25.938,3681468,12,2,10,10,2,331.938
2026-05-25 10:26:30.085,3681468,12,2,10,10,2,336.085
2026-05-25 10:26:32.990,3681468,12,2,10,10,2,338.99
2026-05-25 10:26:34.638,3681468,12,2,10,10,2,340.638
2026-05-25 10:26:38.485,3681468,11,2,9,9,2,344.485
2026-05-25 10:26:38.768,3681468,11,2,9,9,2,344.768
2026-05-25 10:26:47.406,3681468,11,2,9,9,2,353.406
2026-05-25 10:26:54.446,3681468,12,3,9,9,2,360.446
2026-05-25 10:26:54.774,3681468,11,2,9,9,2,360.774
2026-05-25 10:26:54.774,3681468,11,2,9,9,2,360.774
2026-05-25 10:26:54.941,3681468,11,2,9,9,2,360.941
2026-05-25 10:27:02.658,3681468,51,2,49,10,2,368.658
2026-05-25 10:27:15.769,3681468,12,2,10,10,2,381.769
2026-05-25 10:27:16.079,3681468,13,3,10,10,2,382.079
2026-05-25 10:27:16.171,3681468,13,3,10,10,2,382.171
2026-05-25 10:27:16.397,3681468,12,2,10,10,2,382.397
2026-05-25 10:27:20.138,3681468,12,2,10,10,2,386.138
2026-05-25 10:27:20.140,3681468,12,2,10,10,2,386.14
2026-05-25 10:27:24.434,3681468,12,2,10,10,2,390.434
2026-05-25 10:27:27.034,3681468,12,2,10,10,2,393.034
2026-05-25 10:27:27.320,3681468,12,2,10,10,2,393.32
2026-05-25 10:27:30.729,3681468,12,2,10,10,2,396.729
2026-05-25 10:27:32.855,3681468,12,2,10,10,2,398.855
2026-05-25 10:27:32.879,3681468,12,2,10,10,2,398.879
2026-05-25 10:27:33.296,3681468,13,3,10,10,2,399.296
2026-05-25 10:27:33.509,3681468,12,2,10,10,2,399.509
2026-05-25 10:27:39.454,3681468,12,2,10,10,2,405.454
